Source: CPS Basic Monthly 202004,,,,,,,,,,,,,,,,
Weight used: HWHHWGT,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, District of Columbia, Georgia, Hawaii, Illinois, Indiana, Idaho, Iowa, Kansas, Louisiana, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Mississippi, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Selected Geographies,"Less Than $5,000","5,000 To 7,499","7,500 To 9,999","10,000 To 12,499","12,500 To 14,999","15,000 To 19,999","20,000 To 24,999","25,000 To 29,999","30,000 To 34,999","35,000 To 39,999","40,000 To 49,999","50,000 To 59,999","60,000 To 74,999","75,000 To 99,999","100,000 To 149,999","150,000 or More"
Alabama,25195,14452,59472,75239,65250,45439,94063,113733,126905,113378,207956,150008,196314,239052,263035,199348
Alaska,5975,587,3407,6681,6734,7620,9103,8146,7288,12010,23291,28920,24675,39823,49868,30648
Arizona,31465,6932,53186,91979,33954,107033,150697,121200,153184,120925,217014,248210,329091,426739,401096,271069
Arkansas,30564,12056,29325,59905,24842,62500,75235,68701,79175,67736,132059,110757,144778,160903,107757,83718
California,250438,139672,134994,253855,278052,465639,575550,550098,642091,860488,919037,1052441,1466835,1888663,2159127,2715237
Colorado,28326,7884,40264,46830,64009,30792,114416,103472,53533,54806,214167,162703,266548,339672,399795,449240
Connecticut,26281,8567,11561,28247,31428,33360,56786,36849,58177,56708,133636,75205,137566,184981,255531,283313
Delaware,3050,2810,2936,8311,6508,11247,21242,20255,16141,21008,30359,37533,52994,63352,55738,34709
District of Columbia,10765,5728,9807,8358,3356,5609,7214,10494,9097,13249,15080,18015,27392,32556,46241,105477
Florida,175642,64876,164031,234401,240957,351085,451174,595724,477464,579791,788959,827049,938980,957652,898394,896904
Georgia,99945,55395,79990,110935,117808,158705,187245,202969,272378,252181,382284,318664,397661,475398,445152,511215
Hawaii,13522,11425,6710,11405,4641,14223,14690,24483,16057,19096,37810,33266,60766,61426,66637,63487
Idaho,8201,5104,12613,9909,18100,32886,41286,30099,43420,59775,79793,68627,77530,92464,82170,60060
Illinois,142176,55786,50303,125641,136198,149040,190885,202332,245892,169496,396324,464535,506837,708183,683969,820454
Indiana,74455,45853,58607,41234,59439,87505,103746,139257,150318,159210,228712,246123,298538,365393,349847,236494
Iowa,7734,11957,30228,17763,33883,54242,56155,52313,98512,103639,104817,119638,141382,178890,191572,103285
Kansas,12360,7599,19149,28560,21357,44450,30855,37052,77503,63323,95749,80360,138641,186194,141981,125070
Kentucky,22092,14120,28849,63872,74181,147172,75505,57880,146261,118921,170258,193466,187775,189446,211704,97346
Louisiana,82214,23237,77075,74899,51746,92079,129145,83974,86333,80389,157527,168661,175517,198134,219284,146482
Maine,8517,3382,9061,14234,19190,29216,37927,34023,35410,28891,47853,39678,58905,65692,84442,53224
Maryland,30803,7131,30855,9816,44534,35797,54570,62924,84980,121101,101409,154391,227468,343365,433758,477514
Massachusetts,35490,26248,45588,61827,44895,104949,87883,88604,94591,108646,151798,228631,200734,310539,491093,655890
Michigan,46150,33541,71284,145396,103639,168430,163644,256414,192988,194931,307945,264779,568920,480508,654703,440683
Minnesota,34083,4458,32087,45767,47393,53507,91809,100476,113020,84573,211853,202139,242933,368055,418452,328147
Mississippi,38312,18661,47815,42036,41145,83314,96828,65378,63239,55450,103459,96658,108190,123517,84339,52722
Missouri,51662,16068,52696,54014,49373,113878,138860,161374,161234,103814,223708,191840,283935,350349,268778,269387
Montana,9385,5679,10589,9433,8220,19418,27209,23759,35440,26145,40158,47099,47616,53174,55306,38319
Nebraska,13531,9568,12548,17653,11348,33320,32839,42083,38229,36160,45305,73933,103100,113900,106104,71325
Nevada,29085,4453,2062,15660,34256,41712,54589,40163,72568,78919,98910,107823,136274,170353,200977,147015
New Hampshire,2778,810,5189,8823,16664,18059,21235,15574,15126,23017,37427,61334,61776,69439,104832,85535
New Jersey,35684,22193,64349,55230,45201,46285,129384,112856,161392,170216,248118,207478,257597,463158,593895,742582
New Mexico,20138,10850,28824,21305,25475,31510,33383,48498,52453,40397,78594,89839,90818,91334,98244,57903
New York,140580,64841,132940,222743,234896,284547,282621,358494,346053,345136,553316,632718,596146,896806,1063525,1465819
North Carolina,83644,34713,95275,146516,128324,226140,213666,255316,336883,227808,354630,420396,449191,478399,412347,513803
North Dakota,8792,2137,5326,4734,3976,7614,15309,16284,13694,17666,29044,31437,38868,37207,54659,36633
Ohio,129100,75130,119150,137551,135248,289383,243245,240460,232261,277406,354040,337932,507341,556327,628205,489370
Oklahoma,32221,18251,45392,33363,29324,68031,62903,122436,89998,112955,137745,131131,157669,204757,177743,150768
Oregon,34407,0,15082,25239,55431,65093,86176,108142,67903,72325,159677,147863,169798,217718,257714,215019
Pennsylvania,97726,69482,91458,77713,93707,238787,313958,221686,305911,268732,347862,424687,625558,603281,625855,753581
Rhode Island,7809,9000,6118,9786,24617,15246,24350,18839,26531,13461,40689,42226,43730,42498,73319,63260
South Carolina,60580,14825,34367,52134,36954,112668,109967,88703,102429,164993,168892,209090,252314,278371,258542,227708
South Dakota,5682,3720,11107,4816,8264,11791,15856,13901,15613,21762,30682,34730,47516,62308,48064,27642
Tennessee,67439,29114,55983,83693,70390,140549,157468,172007,173053,137624,240588,293408,324035,331501,308907,230883
Texas,150952,150186,177489,239016,209488,356717,533143,534630,654084,562896,965229,844864,1043322,1231876,1486219,1296383
Utah,12461,6631,10303,14375,11997,21673,35774,32706,45596,51946,75454,107504,144241,160206,165503,157017
Vermont,3329,1506,1318,5908,7592,8452,10926,9735,14756,10943,22431,22929,27416,45158,42195,33911
Virginia,37412,26009,29292,44738,75230,88018,110466,88189,183425,108851,219660,292742,372786,373040,471939,824675
Washington,38458,8518,37431,63363,52356,99363,102510,80253,102271,145132,209906,207694,310141,414930,543532,462465
West Virginia,20033,8845,13285,19882,28566,47301,46406,36787,65954,45967,68540,58517,71886,88610,68756,39904
Wisconsin,26952,6580,15929,46268,30636,94006,110066,162529,142162,161661,260657,185210,293231,382169,346815,211274
Wyoming,3447,2781,4039,5269,4615,5759,9413,11997,13289,13507,22298,22630,29088,33176,35058,21698
